,Name,batch_size,bidirectional,coupling_transform,embedding_size,hidden_size_lstm,hidden_size_neighbors,hidden_size_poly,learning_rate,n_lstm_layers,num_bins,num_layers,one_hot_type,seed,shuffle_context,transform_hidden_size,use_3dim_action,n_params,embedding_net_fn_typed,scale_features,use_edges,neg_val_log_prob,repetition_padding
0,ruby-sweep-199,512,False,piecewise_cubic,18,15,15.0,10.0,0.0048930788505152,3,16,4,False,101,False,27,True,18864.0,True,False,True,-1.6090624168001373,False
1,floral-sweep-185,256,False,piecewise_quadratic,20,6,7.0,11.0,0.006469000064632,2,12,1,False,33,False,13,False,3841.0,False,False,True,0.5412890140352578,False
2,cerulean-sweep-184,128,False,piecewise_cubic,24,20,14.0,7.0,0.0058931024871855,3,20,3,False,43,False,29,True,22819.0,True,False,True,-0.3445046938631845,False
3,volcanic-sweep-180,256,False,piecewise_cubic,18,19,15.0,7.0,0.0010479068452218,1,21,2,False,31,True,40,False,10996.0,True,False,True,-1.459952936090272,False
4,laced-sweep-176,512,False,piecewise_cubic,16,19,11.0,11.0,0.0036038791626982,3,18,1,True,702,False,33,True,12813.0,True,False,True,-1.0018832478029975,False
5,iconic-sweep-175,512,True,piecewise_cubic,16,13,10.0,13.0,0.0044587234202333,4,21,2,False,201,True,27,True,23510.0,True,False,True,-4.250696634424144,False
6,expert-sweep-169,512,False,piecewise_quadratic,13,13,15.0,6.0,0.0061037494643,2,21,5,False,33,True,31,True,24476.0,True,False,True,-2.0685117655786973,False
7,breezy-sweep-168,256,True,piecewise_linear,8,18,9.0,12.0,0.0074346080383914,2,12,2,True,201,False,11,True,9782.0,False,False,True,-0.8026596872970976,False
8,likely-sweep-166,128,True,piecewise_quadratic,6,9,13.0,14.0,0.0069772448606709,3,16,2,True,43,False,11,True,7828.0,True,False,True,-1.026416889999224,False
9,comic-sweep-161,256,True,piecewise_cubic,25,14,10.0,5.0,0.0045996095566283,3,16,4,True,201,True,35,False,22287.0,False,False,True,-1.81395089420779,False
10,polished-sweep-152,512,True,piecewise_cubic,19,13,7.0,11.0,0.0063258420638521,3,17,5,True,33,True,32,False,26201.0,True,False,True,-2.1709221848126115,False
11,major-sweep-149,512,False,piecewise_quadratic,22,9,13.0,11.0,0.0012542595467223,4,23,5,True,31,False,14,True,14691.0,True,False,True,-0.679220587015152,False
12,bright-sweep-148,512,False,piecewise_cubic,13,11,12.0,8.0,0.0024939146100751,2,12,4,False,31,True,31,True,13680.0,True,False,True,-2.5878400473759093,False
13,dazzling-sweep-137,128,True,piecewise_quadratic,6,6,15.0,13.0,0.0024712850286133,1,22,4,False,702,False,35,True,24170.0,False,False,True,-0.7749497294425964,False
14,lucky-sweep-135,256,True,piecewise_linear,17,11,15.0,9.0,0.0029374229884183,2,18,5,False,702,True,33,False,14057.0,True,False,True,-2.0698672882441818,False
15,good-sweep-134,512,False,piecewise_cubic,15,18,11.0,13.0,0.0068663583879818,3,22,5,False,33,True,26,False,21985.0,True,False,True,-2.2178759739316742,False
16,ethereal-sweep-125,128,True,piecewise_linear,13,8,7.0,6.0,0.0063223799436086,4,17,5,True,43,False,25,False,14465.0,False,False,True,-0.3481782745084037,False
17,balmy-sweep-121,256,True,piecewise_cubic,10,19,12.0,10.0,0.004365480717231,4,10,2,True,702,False,28,True,26350.0,False,False,True,-1.0138305096790707,False
18,fluent-sweep-120,512,True,piecewise_quadratic,13,20,14.0,11.0,0.0078297539850628,3,22,5,True,33,True,22,False,31645.0,False,False,True,-1.9943954492437428,False
19,faithful-sweep-112,256,True,piecewise_cubic,18,9,10.0,12.0,0.0021643124968452,1,12,4,False,33,False,37,False,12138.0,True,False,True,-0.5824720561504364,False
20,rosy-sweep-109,512,False,piecewise_linear,8,9,6.0,9.0,0.007698738869386,1,23,2,True,43,True,29,False,3938.0,True,False,True,-0.5205556791404198,False
21,pretty-sweep-95,512,False,piecewise_cubic,9,16,13.0,11.0,0.0048194691687553,2,13,3,True,101,True,26,False,9117.0,True,False,True,-1.9626131879872288,False
22,desert-sweep-90,512,True,piecewise_cubic,7,13,12.0,5.0,0.0035212906554727,3,17,2,False,33,False,38,True,19725.0,True,False,True,0.4355628418511358,False
23,fancy-sweep-85,512,False,piecewise_quadratic,19,14,15.0,5.0,0.0075394801670855,4,23,5,False,33,False,24,True,27554.0,False,False,True,-0.5080053713814966,False
24,autumn-sweep-83,512,False,piecewise_cubic,8,19,13.0,5.0,0.0060507934250882,3,19,4,False,31,True,29,False,15324.0,False,False,True,-1.276020859849864,False
25,vital-sweep-78,512,True,piecewise_cubic,17,15,13.0,5.0,0.0054977160368344,3,19,5,True,43,False,20,True,28847.0,True,False,True,-1.7711858913816254,False
26,balmy-sweep-75,512,True,piecewise_cubic,18,16,13.0,8.0,0.0078591466989761,4,21,4,False,31,True,22,True,36426.0,True,False,True,-4.944965263892865,False
27,solar-sweep-72,512,True,piecewise_cubic,5,14,14.0,9.0,0.0056018626421655,3,19,4,True,43,False,33,False,29075.0,False,False,True,-0.5360617884274187,False
28,pretty-sweep-70,512,True,piecewise_cubic,9,16,15.0,7.0,0.0062794162043633,3,16,4,False,33,True,24,True,27073.0,True,False,True,-5.102743839395457,False
29,eager-sweep-67,512,False,piecewise_cubic,6,5,11.0,8.0,0.0016170168059005,3,16,2,True,101,False,39,False,10490.0,False,False,True,-0.7211190832072291,False
30,absurd-sweep-61,512,False,piecewise_cubic,8,12,13.0,5.0,0.0019035746828009,3,22,4,False,33,True,33,False,18380.0,False,False,True,-0.9188476081552176,False
31,twilight-sweep-60,512,True,piecewise_cubic,7,9,15.0,9.0,0.0042980859132399,3,16,4,True,33,True,38,True,22589.0,True,False,True,-3.6152420866078345,False
32,graceful-sweep-56,256,True,piecewise_cubic,7,15,13.0,10.0,0.0052232527521425,3,11,4,False,201,False,38,False,25753.0,False,False,True,0.6013719639901457,False
33,rare-sweep-52,512,True,piecewise_cubic,6,18,14.0,9.0,0.002344767315172,2,10,2,False,201,False,22,True,15086.0,True,False,True,-0.9988827993129862,False
34,zany-sweep-51,512,False,piecewise_cubic,5,5,14.0,13.0,0.0050611077497183,4,17,4,False,201,False,36,False,12490.0,True,False,True,0.303429645710978,False
35,lucky-sweep-49,512,False,piecewise_cubic,5,12,15.0,8.0,0.0007282587119238,3,14,2,False,201,True,40,True,14588.0,False,False,True,-1.3014156859496544,False
36,feasible-sweep-40,512,False,piecewise_cubic,6,11,13.0,6.0,0.0020001746905811,2,10,2,True,33,True,29,False,6158.0,False,False,True,-0.8521905479760006,False
37,light-sweep-35,512,True,piecewise_cubic,7,10,14.0,6.0,0.0011846294108681,3,22,3,True,43,False,24,False,22195.0,False,False,True,-0.5075911406812996,False
38,giddy-sweep-26,512,False,piecewise_cubic,18,15,10.0,6.0,0.0012566782734037,2,25,5,False,31,True,39,False,26891.0,False,False,True,-0.610556135917532,False
39,pious-sweep-24,512,True,piecewise_quadratic,5,15,11.0,8.0,0.0039620352734793,2,13,3,True,33,True,38,False,13713.0,False,False,True,-1.136319713345889,False
40,polished-sweep-23,512,True,piecewise_cubic,6,7,13.0,8.0,0.0018131777626583,2,17,3,False,33,True,36,True,21634.0,False,False,True,-2.1607072969962813,False
41,worthy-sweep-22,512,True,piecewise_cubic,11,12,13.0,6.0,0.0031201145723632,4,16,2,False,31,False,21,False,16443.0,True,False,True,-0.4898576510363611,False
42,kind-sweep-18,512,False,piecewise_cubic,13,7,15.0,7.0,0.004034180375148,2,19,5,True,31,False,30,True,24903.0,False,False,True,-1.7921010379133553,False
43,unique-sweep-17,512,False,piecewise_cubic,25,20,12.0,6.0,0.0028477040131594,3,22,5,False,31,False,38,True,41175.0,True,False,True,-1.5111219800751785,False
44,faithful-sweep-13,128,True,piecewise_cubic,9,12,8.0,5.0,0.003347316720319,3,20,3,False,101,True,25,False,13465.0,False,False,True,-0.5568569706833881,False
45,classic-sweep-8,128,False,piecewise_linear,8,9,8.0,14.0,0.0028866781557162,4,14,4,True,201,False,37,True,16148.0,False,False,True,-0.8373094508829324,False
46,valiant-sweep-2,256,False,piecewise_quadratic,10,7,10.0,7.0,0.0058768529161759,1,25,2,False,31,True,16,True,5794.0,True,False,True,-0.3298748708490667,False
47,still-sweep-1,128,True,piecewise_quadratic,18,15,12.0,12.0,0.0050356173756026,1,14,2,False,31,True,37,False,,True,False,True,0.3415218846305557,False
0,fluent-sweep-241,256,False,3,23,7,14.0,7.0,0.0048046603920292,3,16,5,True,201,False,33,True,27462.0,False,False,True,-1.859197871438388,False
1,comic-sweep-239,512,False,1,17,18,13.0,11.0,0.0006289065729964,4,11,2,True,101,False,20,False,11245.0,False,False,True,-0.3766715495750822,False
2,vital-sweep-228,256,False,2,18,13,11.0,8.0,0.0048009962614125,4,20,1,False,702,False,32,False,8790.0,True,False,True,0.7927677672484825,False
3,polar-sweep-223,256,True,3,21,15,14.0,8.0,0.0064399710683682,2,25,5,False,201,True,30,False,28231.0,True,False,True,-2.479071428035867,False
4,solar-sweep-222,512,False,2,7,8,11.0,14.0,0.0017969335956997,2,20,4,False,101,False,13,False,5871.0,True,False,True,-0.5330077420020926,False
5,hopeful-sweep-217,256,False,3,9,12,9.0,7.0,0.0074833500912868,1,16,1,True,43,True,17,True,3035.0,True,False,True,-1.8270151245182955,False
